ID,Description,Type,Category,Reference,Year,DOI,Mbasis,Moisture,Pbasis,FC,VM,Ash,HHV,LHV,Cellulose,Hemicellulose,Lignin,Ubasis,C,H,O,N,S,Cl,SiO2,CaO,Al2O3,Fe2O3,Na2O,K2O,MgO,P2O5,TiO2,SO3,Cr2O3
Pine0,Pine sawdust,Biomass,Wood,Pinto et al.,2003.0,10.1016/S0016-2361(03)00160-1,wb,11.6,wb,13.6,74.5,0.3,20.19,,,,,daf,51.6,4.9,42.6,0.9,,,,,,,,,,,,,
Pine1,Pine sawdust,Biomass,Wood,Wander et al.,2004.0,10.1016/j.biombioe.2004.04.003,wb,11.78,db,13.22,86.44,0.35,20.4,18.98,,,,db,51.455,6.1,41.845,0.255,0.01,0.01,,,,,,,,,,,
Pine2,Pine sawdust,Biomass,Wood,Baratieri et al.,2008.0,10.1016/j.biortech.2008.01.006,wb,9.4,wb,,,0.9,,16.4,,,,wb,45.2,5.4,39.0,0.1,,,,,,,,,,,,,
PineChips,Mixing pine chips,Biomass,Wood,Pan et al.,2000.0,10.1016/S0016-2361(99)00258-6,wb,8.0,db,21.4,77.4,1.2,,,,,,db,44.0,5.2,34.3,0.5,0.1,,,,,,,,,,,,
Pittsburgh0,Pittsburgh high-volatile bituminous coal,Coal,Bituminous,Li et al.,2001.0,10.1016/S0016-2361(00)00074-0,wb,1.9,wb,49.3,40.6,8.2,30.8,,,,,wb,73.1,4.8,7.3,1.3,3.4,,,,,,,,,,,,
Poplar,Poplar sawdust,Biomass,Wood,Baratieri et al.,2008.0,10.1016/j.biortech.2008.01.006,wb,10.0,wb,,,3.9,,15.5,,,,wb,43.1,5.1,37.7,0.2,,,,,,,,,,,,,
PS,Pine and spruce whitewood mix,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,10.1,db,,,3.34,21.1,,,,,db,49.1,7.26,39.5,0.25,0.5,,,,,,,,,,,,
PS2,Pine sawdust,Biomass,Wood,Li et al.,2010.0,10.1016/j.ijhydene.2009.04.046,wb,9.91,wb,14.91,73.63,1.55,16.29,,,,,wb,45.39,4.02,38.1,0.62,0.41,,,,,,,,,,,,
Quercus,Quercus acutissima sawdust,Biomass,Wood,Seo et al.,2010.0,10.1021/ef100204s,wb,2.29,wb,19.94,77.01,0.76,19.88,,,,,daf,48.89,6.44,44.22,0.13,0.32,,60.6,10.93,16.4,5.98,3.99,2.93,0.0,,,,
RiceHusk,Rice husk,Biomass,Agricultural,Hoffmann,1999.0,hdl.handle.net/10183/11967,wb,12.0,db,13.6,67.8,18.6,15.491,,,,,db,38.3,4.0,38.6,0.5,0.08,0.12,94.48,0.97,0.21,0.22,0.16,2.29,0.19,0.54,0.02,0.92,
RiceStrawB,Rice straw from Shanxi Province in China,Biomass,Straw,Song et al.,2013.0,10.1016/j.fuproc.2013.03.045,db,4.37,db,17.1,68.78,14.12,,13.98,,,,daf,45.91,2.88,48.5,0.93,1.78,,,,,,,,,,,,
RS,Rice straw,Biomass,Straw,Li et al.,2010.0,10.1016/j.ijhydene.2009.04.046,wb,5.58,wb,16.55,65.23,12.64,14.4,,,,,wb,38.61,4.28,37.16,1.08,0.65,,,,,,,,,,,,
SaberoCoal,Refuse coal from Sabero in Spain,Coal,,Pan et al.,2000.0,10.1016/S0016-2361(99)00258-6,wb,8.0,db,14.9,10.9,74.2,,,,,,db,16.8,1.5,3.7,0.6,1.3,,,,,,,,,,,,
